,year,conf_level,Intersection
265,2023,high,No intersection
266,2024,low,No intersection
267,2024,high,No intersection
268,2021,high,No intersection
269,2021,high,No intersection
270,2022,high,No intersection
271,2022,high,No intersection
272,2024,high,No intersection
273,2024,high,No intersection
274,2024,high,No intersection
275,2024,high,No intersection
276,2022,high,No intersection
277,2021,high,No intersection
278,2022,high,No intersection
279,2023,high,No intersection
280,2023,high,No intersection
281,2024,high,No intersection
282,2024,high,No intersection
283,2024,high,No intersection
284,2024,high,No intersection
285,2023,high,No intersection
286,2020,high,No intersection
287,2022,high,No intersection
288,2024,high,No intersection
289,2022,high,No intersection
290,2021,high,No intersection
291,2022,high,No intersection
292,2020,high,No intersection
293,2020,high,No intersection
294,2020,high,No intersection
295,2024,high,No intersection
296,2024,high,No intersection
297,2024,high,No intersection
298,2020,high,No intersection
299,2020,high,No intersection
300,2020,high,No intersection
301,2024,high,No intersection
302,2022,high,No intersection
303,2020,high,No intersection
304,2020,high,No intersection
305,2020,high,No intersection
306,2020,high,No intersection
307,2020,high,No intersection
308,2024,high,No intersection
309,2024,high,No intersection
310,2020,high,No intersection
311,2020,high,No intersection
312,2020,high,No intersection
313,2020,high,No intersection
314,2022,high,No intersection
315,2024,high,No intersection
316,2022,high,No intersection
317,2020,high,No intersection
318,2020,high,No intersection
319,2020,high,No intersection
320,2020,high,No intersection
321,2020,high,No intersection
322,2020,high,No intersection
323,2020,high,No intersection
324,2020,high,No intersection
325,2020,high,No intersection
326,2022,high,No intersection
327,2022,high,No intersection
328,2024,high,No intersection
329,2024,high,No intersection
330,2020,high,No intersection
331,2020,high,No intersection
332,2020,high,No intersection
333,2020,high,No intersection
334,2020,high,No intersection
335,2020,high,No intersection
336,2020,high,No intersection
337,2020,high,No intersection
338,2020,high,No intersection
339,2020,high,No intersection
340,2020,high,No intersection
341,2022,high,No intersection
342,2022,high,No intersection
343,2024,high,No intersection
344,2024,high,No intersection
345,2021,high,No intersection
346,2020,high,No intersection
347,2020,high,No intersection
348,2020,high,No intersection
349,2020,high,No intersection
350,2020,high,No intersection
351,2022,high,No intersection
352,2024,low,No intersection
353,2020,high,No intersection
354,2020,high,No intersection
355,2020,high,No intersection
356,2020,high,No intersection
357,2020,high,No intersection
358,2022,high,No intersection
359,2020,high,No intersection
360,2020,high,No intersection
361,2020,high,No intersection
362,2020,high,No intersection
363,2020,high,No intersection
364,2020,high,No intersection
365,2020,high,No intersection
366,2022,high,No intersection
367,2022,high,No intersection
368,2020,high,No intersection
369,2020,high,No intersection
370,2020,high,No intersection
371,2020,high,No intersection
372,2020,high,No intersection
373,2020,high,No intersection
374,2020,high,No intersection
375,2020,high,No intersection
376,2022,high,No intersection
377,2020,high,No intersection
378,2020,high,No intersection
379,2020,high,No intersection
380,2020,high,No intersection
381,2020,high,No intersection
382,2020,high,No intersection
383,2020,high,No intersection
384,2022,high,No intersection
385,2020,high,No intersection
386,2020,high,No intersection
387,2020,high,No intersection
388,2020,high,No intersection
389,2020,high,No intersection
390,2020,high,No intersection
391,2020,high,No intersection
392,2020,high,No intersection
393,2021,high,No intersection
394,2021,high,No intersection
395,2021,high,No intersection
396,2021,high,No intersection
397,2021,high,No intersection
398,2020,high,No intersection
399,2020,high,No intersection
400,2020,high,No intersection
401,2020,high,No intersection
402,2022,high,No intersection
403,2022,high,No intersection
404,2022,high,No intersection
405,2020,high,No intersection
406,2020,high,No intersection
407,2020,high,No intersection
408,2020,high,No intersection
409,2020,high,No intersection
