,year,conf_level,Intersection
6071,2023,high,No intersection
6072,2023,high,No intersection
6073,2023,high,No intersection
6074,2023,high,No intersection
6075,2021,high,No intersection
6076,2021,high,No intersection
6077,2021,high,No intersection
6078,2021,high,No intersection
6079,2023,high,No intersection
6080,2023,high,No intersection
6081,2023,high,No intersection
6082,2023,high,No intersection
6083,2023,high,No intersection
6084,2024,high,No intersection
6085,2024,high,No intersection
6086,2024,high,No intersection
6087,2024,high,No intersection
6088,2024,high,No intersection
6089,2023,high,No intersection
6090,2023,high,No intersection
6091,2023,high,No intersection
6092,2023,high,No intersection
6093,2021,high,No intersection
6094,2021,high,No intersection
6095,2021,high,No intersection
6096,2024,high,No intersection
6097,2023,high,No intersection
6098,2023,high,No intersection
6099,2023,high,No intersection
6100,2023,high,No intersection
6101,2024,high,No intersection
6102,2024,high,No intersection
6103,2024,high,No intersection
6104,2024,high,No intersection
6105,2023,high,No intersection
6106,2023,high,No intersection
6107,2023,high,No intersection
6108,2022,high,No intersection
6109,2021,high,No intersection
6110,2021,high,No intersection
6111,2021,high,No intersection
6112,2024,high,No intersection
6113,2024,high,No intersection
6114,2024,high,No intersection
6115,2024,high,No intersection
6116,2023,high,No intersection
6117,2024,high,No intersection
6118,2024,high,No intersection
6119,2024,high,No intersection
6120,2024,high,No intersection
6121,2024,high,No intersection
6122,2024,high,No intersection
6123,2023,high,No intersection
6124,2022,high,No intersection
6125,2021,high,No intersection
6126,2022,high,No intersection
6127,2022,high,No intersection
6128,2024,high,No intersection
6129,2024,high,No intersection
6130,2024,high,No intersection
6131,2024,high,No intersection
6132,2024,high,No intersection
6133,2024,high,No intersection
6134,2024,high,No intersection
6135,2024,high,No intersection
6136,2024,high,No intersection
6137,2022,high,No intersection
6138,2022,high,No intersection
6139,2024,high,No intersection
6140,2024,high,No intersection
6141,2024,high,No intersection
6142,2024,high,No intersection
6143,2024,high,No intersection
6144,2024,high,No intersection
6145,2024,high,No intersection
6146,2024,high,No intersection
6147,2024,high,No intersection
6148,2022,high,No intersection
6149,2024,high,No intersection
6150,2024,high,No intersection
6151,2024,high,No intersection
6152,2024,high,No intersection
6153,2024,high,No intersection
6154,2024,high,No intersection
6155,2024,high,No intersection
6156,2022,high,No intersection
6157,2022,high,No intersection
6158,2022,high,No intersection
6159,2024,high,No intersection
6160,2024,high,No intersection
6161,2024,high,No intersection
6162,2024,high,No intersection
6163,2024,high,No intersection
6164,2024,low,No intersection
6165,2024,low,No intersection
6166,2024,low,No intersection
6167,2022,low,No intersection
6168,2022,high,No intersection
6169,2022,high,No intersection
6170,2022,high,No intersection
6171,2022,high,No intersection
6172,2024,high,No intersection
6173,2024,high,No intersection
6174,2024,low,No intersection
6175,2024,low,No intersection
6176,2024,low,No intersection
6177,2022,low,No intersection
6178,2024,low,No intersection
6179,2022,high,No intersection
6180,2024,high,No intersection
6181,2024,low,No intersection
6182,2024,low,No intersection
6183,2024,low,No intersection
6184,2024,low,No intersection
6185,2024,low,No intersection
6186,2024,low,No intersection
6187,2024,low,No intersection
6188,2024,low,No intersection
6189,2024,low,No intersection
6190,2024,low,No intersection
6191,2024,low,No intersection
6192,2024,low,No intersection
6193,2024,low,No intersection
6194,2024,low,No intersection
6195,2022,high,No intersection
6196,2023,high,No intersection
6197,2022,high,No intersection
6198,2022,high,No intersection
6199,2023,high,No intersection
6200,2020,high,No intersection
6201,2023,high,No intersection
6202,2023,high,No intersection
6203,2020,high,No intersection
6204,2023,high,No intersection
6205,2023,high,No intersection
6206,2020,high,No intersection
6207,2020,high,No intersection
6208,2020,high,No intersection
6209,2020,high,No intersection
6210,2023,high,No intersection
6211,2023,high,No intersection
6212,2023,high,No intersection
6213,2023,high,No intersection
6214,2023,high,No intersection
6215,2023,high,No intersection
6216,2023,high,No intersection
6217,2023,high,No intersection
6218,2023,high,No intersection
6219,2023,high,No intersection
6220,2023,high,No intersection
6221,2023,high,No intersection
6222,2023,high,No intersection
6223,2020,high,No intersection
6224,2023,high,No intersection
6225,2023,high,No intersection
6226,2023,high,No intersection
6227,2023,high,No intersection
6228,2023,high,No intersection
6229,2023,high,No intersection
6230,2023,high,No intersection
6231,2020,high,No intersection
6232,2020,high,No intersection
6233,2020,high,No intersection
6234,2023,high,No intersection
6235,2023,high,No intersection
6236,2023,high,No intersection
6237,2020,high,No intersection
6238,2020,high,No intersection
6239,2020,high,No intersection
6240,2020,high,No intersection
6241,2020,high,No intersection
6242,2023,high,No intersection
6243,2020,high,No intersection
6244,2020,high,No intersection
6245,2020,high,No intersection
6246,2020,high,No intersection
6247,2020,high,No intersection
6248,2021,high,No intersection
6249,2021,high,No intersection
6250,2020,high,No intersection
6251,2020,high,No intersection
6252,2020,high,No intersection
6253,2020,high,No intersection
6254,2020,high,No intersection
6255,2020,high,No intersection
6256,2021,high,No intersection
6257,2021,high,No intersection
6258,2021,high,No intersection
6259,2020,high,No intersection
6260,2020,high,No intersection
6261,2020,high,No intersection
6262,2020,high,No intersection
6263,2020,high,No intersection
6264,2020,high,No intersection
6265,2021,high,No intersection
6266,2021,high,No intersection
6267,2021,high,No intersection
6268,2021,high,No intersection
6269,2021,high,No intersection
6270,2021,high,No intersection
6271,2020,high,No intersection
6272,2020,high,No intersection
6273,2020,high,No intersection
6274,2020,high,No intersection
6275,2020,high,No intersection
6276,2020,high,No intersection
6277,2020,high,No intersection
6278,2020,high,No intersection
6279,2020,high,No intersection
6280,2021,high,No intersection
6281,2021,high,No intersection
6282,2021,high,No intersection
6283,2021,high,No intersection
6284,2021,high,No intersection
6285,2021,high,No intersection
6286,2021,high,No intersection
6287,2021,high,No intersection
6288,2021,high,No intersection
6289,2021,high,No intersection
6290,2021,high,No intersection
6291,2021,high,No intersection
6292,2020,high,No intersection
6293,2020,high,No intersection
6294,2020,high,No intersection
6295,2020,high,No intersection
6296,2020,high,No intersection
6297,2020,high,No intersection
6298,2020,high,No intersection
6299,2020,high,No intersection
6300,2021,high,No intersection
6301,2021,high,No intersection
6302,2021,high,No intersection
6303,2021,high,No intersection
6304,2021,high,No intersection
6305,2021,high,No intersection
6306,2021,high,No intersection
6307,2021,high,No intersection
6308,2021,high,No intersection
6309,2021,high,No intersection
6310,2021,high,No intersection
6311,2021,high,No intersection
6312,2021,high,No intersection
6313,2021,high,No intersection
6314,2020,high,No intersection
6315,2020,high,No intersection
6316,2020,high,No intersection
6317,2020,high,No intersection
6318,2021,high,No intersection
6319,2021,high,No intersection
6320,2021,high,No intersection
6321,2021,high,No intersection
6322,2023,high,No intersection
6323,2023,high,No intersection
6324,2021,high,No intersection
6325,2021,high,No intersection
6326,2021,high,No intersection
6327,2021,high,No intersection
6328,2021,high,No intersection
6329,2021,high,No intersection
6330,2021,high,No intersection
6331,2021,high,No intersection
6332,2021,high,No intersection
6333,2021,high,No intersection
6334,2021,high,No intersection
6335,2020,high,No intersection
6336,2020,high,No intersection
6337,2021,high,No intersection
6338,2021,high,No intersection
6339,2021,high,No intersection
6340,2023,high,No intersection
6341,2023,high,No intersection
6342,2023,high,No intersection
6343,2023,high,No intersection
6344,2021,high,No intersection
6345,2021,high,No intersection
6346,2021,high,No intersection
6347,2021,high,No intersection
6348,2021,high,No intersection
6349,2021,high,No intersection
6350,2021,high,No intersection
6351,2021,high,No intersection
6352,2021,high,No intersection
6353,2021,high,No intersection
6354,2021,high,No intersection
6355,2021,high,No intersection
6356,2023,high,No intersection
6357,2022,high,No intersection
6358,2022,high,No intersection
6359,2022,high,No intersection
6360,2022,high,No intersection
6361,2023,high,No intersection
6362,2022,high,No intersection
6363,2023,high,No intersection
6364,2021,high,No intersection
6365,2021,high,No intersection
6366,2021,high,No intersection
6367,2021,high,No intersection
6368,2021,high,No intersection
6369,2023,high,No intersection
6370,2022,high,No intersection
6371,2022,high,No intersection
6372,2022,high,No intersection
6373,2022,high,No intersection
6374,2022,high,No intersection
6375,2022,high,No intersection
6376,2022,high,No intersection
6377,2022,high,No intersection
6378,2022,high,No intersection
6379,2022,high,No intersection
6380,2021,high,No intersection
6381,2021,high,No intersection
6382,2021,high,No intersection
6383,2021,high,No intersection
6384,2022,high,No intersection
6385,2022,high,No intersection
6386,2022,high,No intersection
6387,2022,high,No intersection
6388,2022,high,No intersection
6389,2022,high,No intersection
6390,2022,high,No intersection
6391,2022,high,No intersection
6392,2022,high,No intersection
6393,2022,high,No intersection
6394,2022,high,No intersection
6395,2021,high,No intersection
6396,2021,high,No intersection
6397,2021,high,No intersection
6398,2021,high,No intersection
6399,2021,high,No intersection
6400,2022,high,No intersection
6401,2022,high,No intersection
6402,2022,high,No intersection
6403,2022,high,No intersection
6404,2022,high,No intersection
6405,2022,high,No intersection
6406,2022,high,No intersection
6407,2022,high,No intersection
6408,2022,high,No intersection
6409,2023,high,No intersection
6410,2022,high,No intersection
6411,2021,high,No intersection
6412,2021,high,No intersection
6413,2021,high,No intersection
6414,2021,high,No intersection
6415,2021,high,No intersection
6416,2022,high,No intersection
6417,2022,high,No intersection
6418,2022,high,No intersection
6419,2022,high,No intersection
6420,2022,high,No intersection
6421,2022,high,No intersection
6422,2022,high,No intersection
6423,2022,high,No intersection
6424,2023,high,No intersection
6425,2023,high,No intersection
6426,2023,high,No intersection
6427,2021,high,No intersection
6428,2021,high,No intersection
6429,2021,high,No intersection
6430,2021,high,No intersection
6431,2021,high,No intersection
6432,2021,high,No intersection
6433,2021,high,No intersection
6434,2022,high,No intersection
6435,2022,high,No intersection
6436,2022,high,No intersection
6437,2022,high,No intersection
6438,2022,high,No intersection
6439,2022,high,No intersection
6440,2022,high,No intersection
6441,2022,high,No intersection
6442,2023,high,No intersection
6443,2023,high,No intersection
6444,2024,high,No intersection
6445,2024,high,No intersection
6446,2024,high,No intersection
6447,2024,high,No intersection
6448,2024,high,No intersection
6449,2021,high,No intersection
6450,2021,high,No intersection
6451,2021,high,No intersection
6452,2021,high,No intersection
6453,2021,high,No intersection
6454,2021,high,No intersection
6455,2021,high,No intersection
6456,2021,high,No intersection
6457,2022,high,No intersection
6458,2022,high,No intersection
6459,2022,high,No intersection
6460,2022,high,No intersection
6461,2022,high,No intersection
6462,2022,high,No intersection
6463,2022,high,No intersection
6464,2022,high,No intersection
6465,2023,high,No intersection
6466,2024,high,No intersection
6467,2024,high,No intersection
6468,2024,high,No intersection
6469,2024,high,No intersection
6470,2024,high,No intersection
6471,2024,high,No intersection
6472,2021,high,No intersection
6473,2021,high,No intersection
6474,2021,high,No intersection
6475,2021,high,No intersection
6476,2021,high,No intersection
6477,2021,high,No intersection
6478,2021,high,No intersection
6479,2022,high,No intersection
6480,2022,high,No intersection
6481,2023,high,No intersection
6482,2022,high,No intersection
6483,2022,high,No intersection
6484,2022,high,No intersection
6485,2022,high,No intersection
6486,2022,high,No intersection
6487,2022,high,No intersection
6488,2022,high,No intersection
6489,2023,high,No intersection
6490,2023,high,No intersection
6491,2024,high,No intersection
6492,2024,high,No intersection
6493,2024,high,No intersection
6494,2024,high,No intersection
6495,2024,high,No intersection
6496,2024,high,No intersection
6497,2021,high,No intersection
6498,2021,high,No intersection
6499,2021,high,No intersection
6500,2021,high,No intersection
6501,2021,high,No intersection
6502,2021,high,No intersection
6503,2022,high,No intersection
6504,2022,high,No intersection
6505,2022,high,No intersection
6506,2022,high,No intersection
6507,2022,high,No intersection
6508,2022,high,No intersection
6509,2023,high,No intersection
6510,2022,high,No intersection
6511,2022,high,No intersection
6512,2022,high,No intersection
6513,2022,high,No intersection
6514,2022,high,No intersection
6515,2022,high,No intersection
6516,2022,high,No intersection
6517,2023,high,No intersection
6518,2023,high,No intersection
6519,2023,high,No intersection
6520,2024,high,No intersection
6521,2024,high,No intersection
6522,2024,high,No intersection
6523,2024,high,No intersection
6524,2024,high,No intersection
6525,2021,high,No intersection
6526,2021,high,No intersection
6527,2021,high,No intersection
6528,2021,high,No intersection
6529,2022,high,No intersection
6530,2022,high,No intersection
6531,2022,high,No intersection
6532,2022,high,No intersection
6533,2022,high,No intersection
6534,2022,high,No intersection
6535,2022,high,No intersection
6536,2023,high,No intersection
6537,2022,high,No intersection
6538,2022,high,No intersection
6539,2022,high,No intersection
6540,2022,high,No intersection
6541,2022,high,No intersection
6542,2022,high,No intersection
6543,2023,high,No intersection
6544,2023,high,No intersection
6545,2023,high,No intersection
6546,2024,high,No intersection
6547,2024,high,No intersection
6548,2021,high,No intersection
6549,2021,high,No intersection
6550,2021,high,No intersection
6551,2021,high,No intersection
6552,2022,high,No intersection
6553,2022,high,No intersection
6554,2022,high,No intersection
6555,2022,high,No intersection
6556,2022,high,No intersection
6557,2022,high,No intersection
6558,2022,high,No intersection
6559,2022,high,No intersection
6560,2023,high,No intersection
6561,2022,high,No intersection
6562,2022,high,No intersection
6563,2022,high,No intersection
6564,2022,high,No intersection
6565,2022,high,No intersection
6566,2022,high,No intersection
6567,2023,high,No intersection
6568,2023,high,No intersection
6569,2021,high,No intersection
6570,2021,high,No intersection
6571,2021,high,No intersection
6572,2021,high,No intersection
6573,2021,high,No intersection
6574,2021,high,No intersection
6575,2022,high,No intersection
6576,2022,high,No intersection
6577,2022,high,No intersection
6578,2022,high,No intersection
6579,2022,high,No intersection
6580,2022,high,No intersection
6581,2022,high,No intersection
6582,2022,high,No intersection
6583,2024,high,No intersection
6584,2023,high,No intersection
6585,2022,high,No intersection
6586,2022,high,No intersection
6587,2022,high,No intersection
6588,2022,high,No intersection
6589,2022,high,No intersection
6590,2023,high,No intersection
6591,2021,high,No intersection
6592,2021,high,No intersection
6593,2021,high,No intersection
6594,2021,high,No intersection
6595,2021,high,No intersection
6596,2021,high,No intersection
6597,2022,high,No intersection
6598,2022,high,No intersection
6599,2022,high,No intersection
6600,2022,high,No intersection
6601,2022,high,No intersection
6602,2022,high,No intersection
6603,2022,high,No intersection
6604,2022,high,No intersection
6605,2024,high,No intersection
6606,2023,high,No intersection
6607,2022,high,No intersection
6608,2022,high,No intersection
6609,2022,high,No intersection
6610,2022,high,No intersection
6611,2023,high,No intersection
6612,2024,high,No intersection
6613,2021,high,No intersection
6614,2021,high,No intersection
6615,2021,high,No intersection
6616,2021,high,No intersection
6617,2021,high,No intersection
6618,2021,high,No intersection
6619,2021,high,No intersection
6620,2021,high,No intersection
6621,2021,high,No intersection
6622,2021,high,No intersection
6623,2021,high,No intersection
6624,2023,high,No intersection
6625,2022,high,No intersection
6626,2022,high,No intersection
6627,2022,high,No intersection
6628,2022,high,No intersection
6629,2022,high,No intersection
6630,2022,high,No intersection
6631,2022,high,No intersection
6632,2022,high,No intersection
6633,2024,high,No intersection
6634,2023,high,No intersection
6635,2023,high,No intersection
6636,2023,high,No intersection
6637,2023,high,No intersection
6638,2023,high,No intersection
6639,2021,high,No intersection
6640,2021,high,No intersection
6641,2021,high,No intersection
6642,2021,high,No intersection
6643,2021,high,No intersection
6644,2021,high,No intersection
6645,2021,high,No intersection
6646,2021,high,No intersection
6647,2021,high,No intersection
6648,2021,high,No intersection
6649,2021,high,No intersection
6650,2021,high,No intersection
6651,2021,high,No intersection
6652,2021,high,No intersection
6653,2022,high,No intersection
6654,2022,high,No intersection
6655,2022,high,No intersection
6656,2022,high,No intersection
6657,2022,high,No intersection
6658,2022,high,No intersection
6659,2022,high,No intersection
6660,2022,high,No intersection
6661,2022,high,No intersection
6662,2022,high,No intersection
6663,2023,high,No intersection
6664,2023,high,No intersection
6665,2023,high,No intersection
6666,2023,high,No intersection
6667,2021,high,No intersection
6668,2021,high,No intersection
6669,2021,high,No intersection
6670,2021,high,No intersection
6671,2021,high,No intersection
6672,2021,high,No intersection
6673,2021,high,No intersection
6674,2021,high,No intersection
6675,2021,high,No intersection
6676,2021,high,No intersection
6677,2021,high,No intersection
6678,2021,high,No intersection
6679,2021,high,No intersection
6680,2021,high,No intersection
6681,2024,low,No intersection
6682,2022,high,No intersection
6683,2022,high,No intersection
6684,2022,high,No intersection
6685,2022,high,No intersection
6686,2022,high,No intersection
6687,2022,high,No intersection
6688,2022,high,No intersection
6689,2022,high,No intersection
6690,2022,high,No intersection
6691,2022,high,No intersection
6692,2023,high,No intersection
6693,2023,high,No intersection
6694,2023,high,No intersection
6695,2021,high,No intersection
6696,2021,high,No intersection
6697,2021,high,No intersection
6698,2021,high,No intersection
6699,2021,high,No intersection
6700,2021,high,No intersection
6701,2021,high,No intersection
6702,2021,high,No intersection
6703,2021,high,No intersection
6704,2021,high,No intersection
6705,2021,high,No intersection
6706,2021,high,No intersection
6707,2021,high,No intersection
6708,2021,high,No intersection
6709,2024,low,No intersection
6710,2022,high,No intersection
6711,2022,high,No intersection
6712,2022,high,No intersection
6713,2022,high,No intersection
6714,2022,high,No intersection
6715,2022,high,No intersection
6716,2022,high,No intersection
6717,2022,high,No intersection
6718,2022,high,No intersection
6719,2022,high,No intersection
6720,2021,high,No intersection
6721,2021,high,No intersection
6722,2021,high,No intersection
6723,2021,high,No intersection
6724,2021,high,No intersection
6725,2021,high,No intersection
6726,2021,high,No intersection
6727,2021,high,No intersection
6728,2021,high,No intersection
6729,2021,high,No intersection
6730,2021,high,No intersection
6731,2021,high,No intersection
6732,2021,high,No intersection
6733,2021,high,No intersection
6734,2024,low,No intersection
6735,2024,low,No intersection
6736,2022,high,No intersection
6737,2022,high,No intersection
6738,2022,high,No intersection
6739,2022,high,No intersection
6740,2022,high,No intersection
6741,2021,high,No intersection
6742,2021,high,No intersection
6743,2022,high,No intersection
6744,2022,high,No intersection
6745,2022,high,No intersection
6746,2024,low,No intersection
6747,2021,high,No intersection
6748,2021,high,No intersection
6749,2021,high,No intersection
6750,2021,high,No intersection
6751,2021,high,No intersection
6752,2021,high,No intersection
6753,2021,high,No intersection
6754,2021,high,No intersection
6755,2021,high,No intersection
6756,2021,high,No intersection
6757,2021,high,No intersection
6758,2024,low,No intersection
6759,2022,high,No intersection
6760,2022,high,No intersection
6761,2022,high,No intersection
6762,2022,high,No intersection
6763,2022,high,No intersection
6764,2021,high,No intersection
6765,2021,high,No intersection
6766,2021,high,No intersection
6767,2021,high,No intersection
6768,2021,high,No intersection
6769,2022,high,No intersection
6770,2023,high,No intersection
6771,2023,high,No intersection
6772,2021,high,No intersection
6773,2021,high,No intersection
6774,2021,high,No intersection
6775,2021,high,No intersection
6776,2021,high,No intersection
6777,2021,high,No intersection
6778,2021,high,No intersection
6779,2021,high,No intersection
6780,2021,high,No intersection
6781,2021,high,No intersection
6782,2021,high,No intersection
6783,2021,high,No intersection
6784,2021,high,No intersection
6785,2021,high,No intersection
6786,2021,high,No intersection
6787,2021,high,No intersection
6788,2021,high,No intersection
6789,2021,high,No intersection
6790,2021,high,No intersection
6791,2022,high,No intersection
6792,2022,high,No intersection
6793,2022,high,No intersection
6794,2022,high,No intersection
6795,2022,high,No intersection
6796,2021,high,No intersection
6797,2021,high,No intersection
6798,2021,high,No intersection
6799,2021,high,No intersection
6800,2021,high,No intersection
6801,2021,high,No intersection
6802,2022,high,No intersection
6803,2023,high,No intersection
6804,2023,high,No intersection
6805,2023,high,No intersection
6806,2021,high,No intersection
6807,2021,high,No intersection
6808,2021,high,No intersection
6809,2021,high,No intersection
6810,2021,high,No intersection
6811,2021,high,No intersection
6812,2021,high,No intersection
6813,2021,high,No intersection
6814,2021,high,No intersection
6815,2021,high,No intersection
6816,2021,high,No intersection
6817,2021,high,No intersection
6818,2021,high,No intersection
6819,2021,high,No intersection
6820,2021,high,No intersection
6821,2022,high,No intersection
6822,2020,high,No intersection
6823,2024,low,No intersection
6824,2024,high,No intersection
6825,2022,high,No intersection
6826,2021,high,No intersection
6827,2021,high,No intersection
6828,2021,high,No intersection
6829,2021,high,No intersection
6830,2021,high,No intersection
6831,2021,high,No intersection
6832,2022,high,No intersection
6833,2023,high,No intersection
6834,2023,high,No intersection
6835,2023,high,No intersection
6836,2021,high,No intersection
6837,2021,high,No intersection
6838,2021,high,No intersection
6839,2021,high,No intersection
6840,2021,high,No intersection
6841,2021,high,No intersection
6842,2021,high,No intersection
6843,2021,high,No intersection
6844,2021,high,No intersection
6845,2021,high,No intersection
6846,2021,high,No intersection
6847,2021,high,No intersection
6848,2021,high,No intersection
6849,2024,high,No intersection
6850,2023,high,No intersection
6851,2021,high,No intersection
6852,2021,high,No intersection
6853,2021,high,No intersection
6854,2021,high,No intersection
6855,2021,high,No intersection
6856,2021,high,No intersection
6857,2021,high,No intersection
6858,2022,high,No intersection
6859,2023,high,No intersection
6860,2023,high,No intersection
6861,2023,high,No intersection
6862,2023,high,No intersection
6863,2023,high,No intersection
6864,2021,high,No intersection
6865,2021,high,No intersection
6866,2021,high,No intersection
6867,2021,high,No intersection
6868,2021,high,No intersection
6869,2020,high,No intersection
6870,2020,high,No intersection
6871,2021,high,No intersection
6872,2021,high,No intersection
6873,2021,high,No intersection
6874,2021,high,No intersection
6875,2021,high,No intersection
6876,2021,high,No intersection
6877,2021,high,No intersection
6878,2024,high,No intersection
6879,2022,high,No intersection
6880,2021,high,No intersection
6881,2021,high,No intersection
6882,2021,high,No intersection
6883,2021,high,No intersection
6884,2021,high,No intersection
6885,2021,high,No intersection
6886,2021,high,No intersection
6887,2021,high,No intersection
6888,2023,high,No intersection
6889,2023,high,No intersection
6890,2023,high,No intersection
6891,2023,high,No intersection
6892,2023,high,No intersection
6893,2023,high,No intersection
6894,2024,low,No intersection
6895,2021,high,No intersection
6896,2020,high,No intersection
6897,2020,high,No intersection
6898,2020,high,No intersection
6899,2020,high,No intersection
6900,2020,high,No intersection
6901,2020,high,No intersection
6902,2021,high,No intersection
6903,2021,high,No intersection
6904,2020,high,No intersection
6905,2020,high,No intersection
6906,2021,high,No intersection
6907,2021,high,No intersection
6908,2021,high,No intersection
6909,2024,high,No intersection
6910,2022,high,No intersection
6911,2021,high,No intersection
6912,2021,high,No intersection
6913,2021,high,No intersection
6914,2021,high,No intersection
6915,2021,high,No intersection
6916,2021,high,No intersection
6917,2021,high,No intersection
6918,2021,high,No intersection
6919,2023,high,No intersection
6920,2023,high,No intersection
6921,2023,high,No intersection
6922,2023,high,No intersection
6923,2023,high,No intersection
6924,2023,high,No intersection
6925,2021,high,No intersection
6926,2021,high,No intersection
6927,2020,high,No intersection
6928,2020,high,No intersection
6929,2020,high,No intersection
6930,2020,high,No intersection
6931,2020,high,No intersection
6932,2020,high,No intersection
6933,2020,high,No intersection
6934,2020,high,No intersection
6935,2020,high,No intersection
6936,2020,high,No intersection
6937,2024,high,No intersection
6938,2021,high,No intersection
6939,2021,high,No intersection
6940,2021,high,No intersection
6941,2021,high,No intersection
6942,2021,high,No intersection
6943,2021,high,No intersection
6944,2021,high,No intersection
6945,2021,high,No intersection
6946,2022,high,No intersection
6947,2023,high,No intersection
6948,2023,high,No intersection
6949,2023,high,No intersection
6950,2023,high,No intersection
6951,2023,high,No intersection
6952,2023,high,No intersection
6953,2021,high,No intersection
6954,2021,high,No intersection
6955,2020,high,No intersection
6956,2020,high,No intersection
6957,2020,high,No intersection
6958,2020,high,No intersection
6959,2020,high,No intersection
6960,2020,high,No intersection
6961,2020,high,No intersection
6962,2020,high,No intersection
6963,2021,high,No intersection
6964,2021,high,No intersection
6965,2021,high,No intersection
6966,2021,high,No intersection
6967,2021,high,No intersection
6968,2021,high,No intersection
6969,2021,high,No intersection
6970,2021,high,No intersection
6971,2022,high,No intersection
6972,2022,high,No intersection
6973,2022,high,No intersection
6974,2023,high,No intersection
6975,2023,high,No intersection
6976,2023,high,No intersection
6977,2023,high,No intersection
6978,2023,high,No intersection
6979,2023,high,No intersection
6980,2021,high,No intersection
6981,2020,high,No intersection
6982,2020,high,No intersection
6983,2020,high,No intersection
6984,2020,high,No intersection
6985,2020,high,No intersection
6986,2020,high,No intersection
6987,2020,high,No intersection
6988,2021,high,No intersection
6989,2021,high,No intersection
6990,2021,high,No intersection
6991,2021,high,No intersection
6992,2021,high,No intersection
6993,2021,high,No intersection
6994,2022,high,No intersection
6995,2022,high,No intersection
6996,2022,high,No intersection
6997,2023,high,No intersection
6998,2023,high,No intersection
6999,2023,high,No intersection
7000,2023,high,No intersection
7001,2023,high,No intersection
7002,2023,high,No intersection
7003,2020,high,No intersection
7004,2020,high,No intersection
7005,2020,high,No intersection
7006,2021,high,No intersection
7007,2021,high,No intersection
7008,2021,high,No intersection
7009,2021,high,No intersection
7010,2021,high,No intersection
7011,2022,high,No intersection
7012,2022,high,No intersection
7013,2022,high,No intersection
7014,2023,high,No intersection
7015,2023,high,No intersection
7016,2023,high,No intersection
7017,2023,high,No intersection
7018,2023,high,No intersection
7019,2023,high,No intersection
7020,2020,high,No intersection
7021,2020,high,No intersection
7022,2020,high,No intersection
7023,2021,high,No intersection
7024,2021,high,No intersection
7025,2021,high,No intersection
7026,2021,high,No intersection
7027,2022,high,No intersection
7028,2022,high,No intersection
7029,2023,high,No intersection
7030,2023,high,No intersection
7031,2024,high,No intersection
7032,2021,high,No intersection
7033,2021,high,No intersection
7034,2021,high,No intersection
7035,2023,high,No intersection
7036,2023,high,No intersection
7037,2021,high,No intersection
7038,2021,high,No intersection
7039,2021,high,No intersection
7040,2022,high,No intersection
7041,2021,high,No intersection
7042,2022,high,No intersection
7043,2023,high,No intersection
7044,2020,high,No intersection
7045,2020,high,No intersection
7046,2022,high,No intersection
7047,2020,high,No intersection
7048,2020,high,No intersection
7049,2020,high,No intersection
7050,2020,high,No intersection
7051,2020,high,No intersection
7052,2022,high,No intersection
7053,2022,high,No intersection
7054,2022,high,No intersection
7055,2020,high,No intersection
7056,2020,high,No intersection
7057,2020,high,No intersection
7058,2020,high,No intersection
7059,2020,high,No intersection
7060,2020,high,No intersection
7061,2020,high,No intersection
7062,2020,high,No intersection
7063,2020,high,No intersection
7064,2020,high,No intersection
7065,2020,high,No intersection
7066,2020,high,No intersection
7067,2020,high,No intersection
7068,2020,high,No intersection
7069,2020,high,No intersection
7070,2020,high,No intersection
7071,2020,high,No intersection
7072,2020,high,No intersection
7073,2020,high,No intersection
7074,2020,high,No intersection
7075,2024,low,No intersection
7076,2024,high,No intersection
7077,2024,high,No intersection
7078,2024,high,No intersection
7079,2020,high,No intersection
7080,2020,high,No intersection
7081,2023,high,No intersection
7082,2022,high,No intersection
7083,2022,high,No intersection
7084,2022,high,No intersection
7085,2024,high,No intersection
7086,2024,high,No intersection
7087,2024,high,No intersection
7088,2020,high,No intersection
7089,2020,high,No intersection
7090,2020,high,No intersection
7091,2020,high,No intersection
7092,2020,high,No intersection
7093,2020,high,No intersection
7094,2022,high,No intersection
7095,2022,high,No intersection
7096,2022,high,No intersection
7097,2024,high,No intersection
7098,2024,high,No intersection
7099,2023,high,No intersection
7100,2024,high,No intersection
7101,2020,high,No intersection
7102,2020,high,No intersection
7103,2020,high,No intersection
7104,2020,high,No intersection
7105,2020,high,No intersection
7106,2020,high,No intersection
7107,2020,high,No intersection
7108,2021,high,No intersection
7109,2022,high,No intersection
7110,2023,high,No intersection
7111,2024,high,No intersection
7112,2022,high,No intersection
7113,2024,high,No intersection
7114,2024,high,No intersection
7115,2023,high,No intersection
7116,2023,high,No intersection
7117,2023,high,No intersection
7118,2020,high,No intersection
7119,2020,high,No intersection
7120,2020,high,No intersection
7121,2020,high,No intersection
7122,2020,high,No intersection
7123,2020,high,No intersection
7124,2021,high,No intersection
7125,2022,high,No intersection
7126,2022,high,No intersection
7127,2023,high,No intersection
7128,2023,high,No intersection
7129,2024,high,No intersection
7130,2021,high,No intersection
7131,2021,high,No intersection
7132,2021,high,No intersection
7133,2021,high,No intersection
7134,2021,high,No intersection
7135,2024,high,No intersection
7136,2024,high,No intersection
7137,2024,high,No intersection
7138,2024,high,No intersection
7139,2023,high,No intersection
7140,2023,high,No intersection
7141,2023,high,No intersection
7142,2020,high,No intersection
7143,2020,high,No intersection
7144,2020,high,No intersection
7145,2020,high,No intersection
